"order" "species" "adult_body_mass_g" "adult_head_body_len_mm" "home_range_km2" "litter_size"
"Erinaceomorpha" "Erinaceus concolor" 665.99 231.89 0.01 5.23
"Erinaceomorpha" "Erinaceus europaeus" 777.95 237.17 0.08 4.64
"Erinaceomorpha" "Erinaceus roumanicus" NA NA NA NA
"Rodentia" "Eropeplus canus" NA NA NA NA
"Chiroptera" "Erophylla bombifrons" 16.28 NA NA NA
"Chiroptera" "Erophylla sezekorni" 15.87 NA NA 1
"Primates" "Erythrocebus patas" 7966.3 665 28.24 1.01
"Chiroptera" "Eptesicus platyops" NA NA NA NA
"Chiroptera" "Eptesicus serotinus" 23.09 67.99 NA 1.5
"Chiroptera" "Eptesicus tatei" NA NA NA NA
"Perissodactyla" "Equus asinus" 164998.49 NA 139.69 1
"Perissodactyla" "Equus burchellii" 279160.65 NA 127.99 1
"Perissodactyla" "Equus caballus" 403598.53 NA 15.62 1
"Perissodactyla" "Equus grevyi" 408000.35 2700 NA 1
"Perissodactyla" "Equus hemionus" 235248.07 2250 NA 1
"Carnivora" "Genetta bourloni" NA NA NA NA
"Carnivora" "Genetta cristata" 1863.23 515 NA 2.5
"Carnivora" "Genetta genetta" 1756.17 552.44 10.9 2.29
"Carnivora" "Genetta johnstoni" 2225 NA NA NA
"Carnivora" "Genetta maculata" 1950 NA NA 2.12
"Carnivora" "Genetta pardina" NA NA NA NA
"Carnivora" "Genetta piscivora" 1648.05 456.13 NA 0.96
"Carnivora" "Genetta poensis" NA NA NA NA
"Rodentia" "Delomys collinus" NA NA NA NA
"Rodentia" "Delomys dorsalis" 67.5 NA NA NA
"Rodentia" "Delomys sublineatus" 89.99 NA NA NA
"Cetacea" "Delphinapterus leucas" 1381640.73 4249.83 NA 1.02
"Cetacea" "Delphinus capensis" NA NA NA NA
"Cetacea" "Delphinus delphis" 79271.69 2439.99 NA 0.98
"Rodentia" "Deltamys kempi" 26.4 NA NA NA
"Scandentia" "Dendrogale melanura" 59.99 125 NA NA
"Scandentia" "Dendrogale murina" 49.99 NA NA NA
"Hyracoidea" "Dendrohyrax arboreus" 2981.11 499.99 NA 1.51
"Hyracoidea" "Dendrohyrax dorsalis" 3174.99 NA NA 1.22
"Diprotodontia" "Dendrolagus bennettianus" 10458.82 NA NA 1
"Diprotodontia" "Dendrolagus dorianus" 8976.58 603.43 NA 1.01
"Diprotodontia" "Dendrolagus goodfellowi" 7948.78 NA NA 1
"Rodentia" "Bibimys torresi" 28 NA NA NA
"Artiodactyla" "Bison bison" 624577.07 2849.24 47.39 0.98
"Artiodactyla" "Bison bonasus" 675876.7 2900 7.91 1
"Rodentia" "Biswamoyopterus biswasi" NA NA NA NA
"Rodentia" "Blanfordimys afghanus" NA NA NA 3.4
"Rodentia" "Blanfordimys bucharensis" NA NA NA NA
"Soricomorpha" "Blarina brevicauda" 18.56 120.82 0.003539783 5.39
"Soricomorpha" "Blarina carolinensis" 11.91 73.2 0.00995781 3.95
"Soricomorpha" "Blarina hylophaga" 14.49 NA NA NA
"Soricomorpha" "Blarina peninsulae" NA NA NA NA
"Artiodactyla" "Babyrousa togeanensis" NA NA NA NA
"Rodentia" "Baiomys musculus" 8.99 75.59 NA 2.62
"Rodentia" "Baiomys taylori" 7.43 63.9 0.000384598 2.52
"Cetacea" "Balaena mysticetus" 79691178.99 12187.12 NA 1
"Cetacea" "Balaenoptera acutorostrata" 5587093.59 5529.31 NA 1
"Cetacea" "Balaenoptera bonaerensis" NA NA NA NA
"Cetacea" "Balaenoptera borealis" 22106251.95 18382.16 NA 1.02
"Cetacea" "Balaenoptera edeni" 19999999.97 13846.17 NA 0.97
"Soricomorpha" "Blarinella griselda" NA NA NA NA
"Soricomorpha" "Blarinella quadraticauda" 12.5 67.5 NA NA
"Soricomorpha" "Blarinella wardi" NA NA NA NA
"Rodentia" "Blarinomys breviceps" 36.79 104.55 NA 1.21
"Artiodactyla" "Blastocerus dichotomus" 112518.53 1720 NA 0.98
"Rodentia" "Boromys offella" NA NA NA NA
"Rodentia" "Boromys torrei" NA NA NA NA
"Lagomorpha" "Brachylagus idahoensis" 431.19 265.1 0.003792025 5.81
"Chiroptera" "Brachyphylla cavernarum" 45.5 81.26 NA 1
"Chiroptera" "Brachyphylla nana" 37.25 84.19 NA 0.98
"Rodentia" "Brachytarsomys albicauda" 200 225 NA NA
"Rodentia" "Brachytarsomys villosa" 219.99 NA NA NA
"Primates" "Brachyteles arachnoides" 10537.31 578.19 1.04 1.02
"Primates" "Brachyteles hypoxanthus" NA NA NA NA
"Rodentia" "Brachyuromys betsileoensis" 93.58 162.5 NA NA
"Rodentia" "Brachyuromys ramirohitra" 92.31 162.5 NA NA
"Pilosa" "Bradypus pygmaeus" NA NA NA NA
"Soricomorpha" "Crocidura olivieri" 34.42 108.11 NA NA
"Soricomorpha" "Crocidura orientalis" NA NA NA NA
"Artiodactyla" "Cephalophus dorsalis" 20000 849.99 0.27 1
"Artiodactyla" "Cephalophus jentinki" 68489.54 1349.99 NA 1
"Artiodactyla" "Cephalophus leucogaster" 13208.69 939.32 NA 1
"Artiodactyla" "Cephalophus natalensis" 12724.51 786.14 0.06 1
"Rodentia" "Chaetomys subspinosus" 1299.99 599.52 NA NA
"Cingulata" "Chaetophractus nationi" 2110.04 NA NA NA
"Cingulata" "Chaetophractus vellerosus" 930.16 NA 0.02 NA
"Cingulata" "Chaetophractus villosus" 4372.8 NA NA 1.62
"Chiroptera" "Chalinolobus dwyeri" 8.74 NA NA 1.34
"Chiroptera" "Chalinolobus gouldii" 14.24 NA NA 1.41
"Chiroptera" "Chalinolobus morio" 8.91 NA NA 1.38
"Chiroptera" "Chalinolobus neocaledonicus" NA NA NA NA
"Diprotodontia" "Dendrolagus inustus" 12625 716.21 NA 1.11
"Diprotodontia" "Dendrolagus lumholtzi" 6649.97 NA 0.01 1
"Diprotodontia" "Dendrolagus matschiei" 8293.4 537.81 0.23 1.01
"Diprotodontia" "Dendrolagus mbaiso" 9395.06 674.54 NA NA
"Diprotodontia" "Dendrolagus pulcherrimus" NA NA NA NA
"Diprotodontia" "Dendrolagus scottae" 9958.58 615.55 NA 1.01
"Diprotodontia" "Dendrolagus spadix" 8468.2 602.65 NA 1
