version_event,source_id,quote_id,license_event,doi_event,crc_event,version_position,position_description,name_position,location_type,latitude,longitude,geometry,elevation,geonames_id,version_period,calendar,begin_year,begin_month_id,begin_month,begin_day_id,begin_day,begin_hour_id,begin_hour,begin_timestamp,end_year,end_month_id,end_month,end_day_id,end_day,end_hour_id,end_hour,end_timestamp,version_coding,codeset_id,codeset_description,category,path,node_id,node_label,scale_id,scale_label,value_id,value_label,value_index,average,variance,si_unit,si_average,si_variance
0,11784,250216,"not published",,43a0ef65c96d9509916534b4558fdb68,0,,"Freiburg, Merzhauser Straße",location,47.979378,7.831468,,,,0,gregorian,2017,1,january,14,14,13,noon,"2017-01-14 12:00:00",2017,1,january,14,14,15,"2 pm","2017-01-14 14:59:59",0,600567,"The sky was grey by quite bright. ",climate,climate/clouds,153,"cloud cover",4,"cloud cover",33,"3/4: very cloudy",3,,,n[],,
0,11784,250216,"not published",,00d74d010c8be985e511e0e60f250926,0,,"Freiburg, Merzhauser Straße",location,47.979378,7.831468,,,,0,gregorian,2017,1,january,14,14,13,noon,"2017-01-14 12:00:00",2017,1,january,14,14,15,"2 pm","2017-01-14 14:59:59",0,600569,"but the hail was strong.",climate,"climate/precipitation/amount of precipitation",616,"shortterm precipitation",51,"shortterm precipitation",99,"extremely much precipitation",4,,,,,
0,11784,250219,"not published",,2d2174a2b13e7cce6d1433db13b99e4e,0,,"Freiburg, Merzhauser Straße",location,47.979378,7.831468,,,,0,gregorian,2017,1,january,14,14,18,"5 pm","2017-01-14 17:00:00",2017,1,january,14,14,20,"7 pm","2017-01-14 19:59:59",0,600572," light snowfall",climate,"climate/precipitation/amount of precipitation",616,"shortterm precipitation",51,"shortterm precipitation",102,"some precipitation",1,,,,,
0,11784,250222,"not published",,d521a962289dcf2d2e65296c3c7d49a7,0,,"Freiburg, Seepark",location,48.008542,7.821403,,,,0,gregorian,2017,1,january,15,15,13,noon,"2017-01-15 12:00:00",2017,1,january,15,15,15,"2 pm","2017-01-15 14:59:59",0,600575,"Grey skies but very bright ",climate,climate/clouds,153,"cloud cover",4,"cloud cover",33,"3/4: very cloudy",3,,,n[],,
0,11784,250216,"not published",,6411158ab9419bf3cdc7cba0b97fd3f2,0,,"Freiburg, Merzhauser Straße",location,47.979378,7.831468,,,,0,gregorian,2017,1,january,14,14,13,noon,"2017-01-14 12:00:00",2017,1,january,14,14,15,"2 pm","2017-01-14 14:59:59",0,600571,"The temperature was actually quite nice ",climate,climate/temperature,237,"temperature level",1,"temperature level",1,warm,1,,,,,
0,11787,250215,"not published",,d9af2165228d1f7a57c32c4048402a00,0,,"Freiburg, Vauban",location,47.976005,7.824701,,,,0,gregorian,2017,1,january,13,13,18,"5 pm","2017-01-13 17:00:00",2017,1,january,13,13,20,"7 pm","2017-01-13 19:59:59",0,600570,"it's dark yet you can see the moon through the clouds",climate,climate/clouds,153,"cloud cover",4,"cloud cover",34,"1/4: mostly sunny",1,,,n[],,
0,11784,250226,"not published",,89c42923131f7e4bb1be19ec3f86ff26,0,,"Freiburg, Universitätsbibliothek",location,47.994239,7.84543,,,,0,gregorian,2017,1,january,16,16,18,"5 pm","2017-01-16 17:00:00",2017,1,january,16,16,20,"7 pm","2017-01-16 19:59:59",0,600578,"No precipitation and the a",climate,"climate/precipitation/amount of precipitation",616,"shortterm precipitation",51,"shortterm precipitation",101,"no precipitation",0,,,,,
0,11784,250222,"not published",,a4c6820c5491a6281c721425333ebf90,0,,"Freiburg, Seepark",location,48.008542,7.821403,,,,0,gregorian,2017,1,january,15,15,13,noon,"2017-01-15 12:00:00",2017,1,january,15,15,15,"2 pm","2017-01-15 14:59:59",0,600576,"wet snow fallin",climate,"climate/precipitation/amount of precipitation",616,"shortterm precipitation",51,"shortterm precipitation",100,"much precipitation",2,,,,,
0,11784,250219,"not published",,f346be094725eaf29856df58e2f4a699,0,,"Freiburg, Merzhauser Straße",location,47.979378,7.831468,,,,0,gregorian,2017,1,january,14,14,18,"5 pm","2017-01-14 17:00:00",2017,1,january,14,14,20,"7 pm","2017-01-14 19:59:59",0,600574,"The temperature is quite a bit colder.",climate,climate/temperature,237,"temperature level",1,"temperature level",3,cool,-1,,,,,
0,11784,250222,"not published",,76ba70221cac2fcc622a26e86e18b33d,0,,"Freiburg, Seepark",location,48.008542,7.821403,,,,0,gregorian,2017,1,january,15,15,13,noon,"2017-01-15 12:00:00",2017,1,january,15,15,15,"2 pm","2017-01-15 14:59:59",0,600577,"Warm weather outside",climate,climate/temperature,237,"temperature level",1,"temperature level",1,warm,1,,,,,
